日付,コード,市場,銘柄名,シンクタンク,レーティング,ターゲット
05/13,2331,東1,ALSOK,野村,Neutral継続,6000→6300円
05/13,2371,東1,カカクコム,野村,Buy継続,3610→3200円
05/13,2782,JQ,セリア,大和,3継続,3000→3900円
05/13,3436,東1,SUMCO,大和,2継続,2050→1900円
05/13,3626,東1,ＴＩＳ,みずほ,中立継続,6860→2287円
05/13,4063,東1,信越化,MSMUFG,Over継続,13500→14000円
05/13,4185,東1,ＪＳＲ,大和,3継続,1680→1950円
05/13,4528,東1,小野薬,野村,Neutral継続,2700→2500円
05/13,4661,東1,ＯＬＣ,三菱UFJMS,Overweight 継続,20000→18500円
05/13,4680,東1,ラウンドワン,大和,1継続,2000→1800円
05/13,4716,東1,日本オラクル,JPM,Neutral継続,10700→11600円
05/13,4901,東1,富士フイルム,MSMUFG,Over継続,6200→6500円
05/13,4902,東1,コニカミノルタ,MSMUFG,Equal→Under,700→350円
05/13,5406,東1,神戸鋼,野村,Neutral継続,315→370円
05/13,5801,東1,古河電,MSMUFG,Equal継続,2500→2200円
05/13,5802,東1,住友電,MSMUFG,Over継続,1900→1400円
05/13,5803,東1,フジクラ,MSMUFG,Equal継続,370→300円
05/13,6326,東1,クボタ,みずほ,買い継続,2000円継続
05/13,6395,東1,タダノ,JPM,Under継続,800→700円
05/13,6723,東1,ルネサス,SMBC日興,1継続,860→960円
05/13,6724,東1,エプソン,MSMUFG,Under継続,1300→1100円
05/13,6744,東1,能美防,大和,1→2,2900→2300円
05/13,6869,東1,シスメックス,野村,Buy継続,8700→8900円
05/13,6963,東1,ローム,マッコーリー,Neutral→OP,6850→8350円
05/13,6966,東1,三井ハイテ,三菱UFJMS,Buy 継続,2700→2100円
05/13,6976,東1,太陽誘電,マッコーリー,Neutral継続,2800→3100円
05/13,6976,東1,太陽誘電,野村,Buy継続,3700→3600円
05/13,7575,東1,日本ライフL,野村,Neutral継続,1600→1450円
05/13,7752,東1,リコー,MSMUFG,Equal継続,1100→850円
05/13,8801,東1,三井不,野村,Buy継続,4020→3870円
05/13,8804,東1,東建物,SMBC日興,2継続,1400→1490円
05/13,9503,東1,関西電,マッコーリー,Neutral継続,1250→1000円
05/13,9708,東2,帝国ホテル,野村,Neutral継続,1470→1860円
05/13,9735,東1,セコム,野村,Buy継続,13500→12000円
05/13,9880,東1,イノテック,野村,Neutral継続,1074→1069円
05/12,2440,東1,ぐるなび,大和,3継続,900→590円
05/12,2914,東1,ＪＴ,SMBC日興,2継続,2400→2100円
05/12,3099,東1,ミツコシイセタン,JPM,Neutral継続,1050→850円
05/12,3099,東1,ミツコシイセタン,野村,Neutral継続,950→800円
05/12,3593,東1,ホギメディ,大和,3継続,3400→3300円
05/12,4307,東1,ＮＲＩ,大和,2継続,2650→2800円
05/12,4307,東1,ＮＲＩ,JPM,Neutral継続,2300→2500円
05/12,4343,東1,ファンタジー,三菱UFJMS,Overweight 継続,3900→2100円
05/12,4507,東1,塩野義,野村,Buy継続,8000→6600円
05/12,4661,東1,ＯＬＣ,MSMUFG,Equal継続,15100→14300円
05/12,4912,東1,ライオン,大和,3→2,2140→2690円
05/12,4912,東1,ライオン,野村,Neutral継続,2050→2130円
05/12,4917,東1,マンダム,大和,4継続,2180→1760円
05/12,4921,東1,ファンケル,大和,2継続,3260→3160円
05/12,5214,東1,日電硝,SMBC日興,2継続,2000→1500円
05/12,6503,東1,三菱電,マッコーリー,OP継続,1790→1675円
05/12,6787,JQ,メイコー,野村,Neutral継続,2300→1840円
05/12,6861,東1,キーエンス,JPM,Over継続,42000→46000円
05/12,6963,東1,ローム,マッコーリー,Neutral継続,5350→6850円
05/12,6988,東1,日東電,野村,Neutral継続,6360→5300円
05/12,7012,東1,川重,マッコーリー,Neutral継続,2500→1700円
05/12,7203,東1,トヨタ,三菱UFJMS,Overweight 継続,8500→7900円
05/12,7729,東1,東京精,MSMUFG,Equal継続,3400→3500円
05/12,7729,東1,東京精,野村,Buy継続,5161→4660円
05/12,7821,東1,前田工繊,三菱UFJMS,Buy 継続,3250→3000円
05/12,8028,東1,ファミリーマート,大和,3→2,2300→2100円
05/12,9531,東1,東ガス,野村,Neutral継続,2770→2550円
05/12,9983,東1,ファーストリテイ,大和,2継続,56000→55000円
05/11,1605,東1,国際帝石,JPM,Over継続,866→860円
05/11,1605,東1,国際帝石,みずほ,買い継続,1350→960円
05/11,2212,東1,山崎パン,JPM,Over→Neutral,2100→1900円
05/11,2212,東1,山崎パン,みずほ,中立継続,2050→1800円
05/11,2327,東1,NSSOL,三菱UFJMS,Neutral継続,3600→3050円
05/11,2371,東1,カカクコム,CS,Neutral継続,2200→2400円
05/11,2692,東1,伊藤忠食,みずほ,中立継続,4700→4800円
05/11,2914,東1,ＪＴ,大和,3継続,2400→2000円
05/11,3048,東1,ビックカメラ,大和,2継続,1360→1100円
05/11,3401,東1,帝人,三菱UFJMS,Neutral継続,1680→1790円
05/11,3401,東1,帝人,マッコーリー,Neutral継続,1700→1600円
05/11,3401,東1,帝人,野村,Neutral継続,1975→1520円
05/11,3436,東1,SUMCO,三菱UFJMS,Overweight 継続,2150→2360円
05/11,3738,東1,ティーガイア,野村,Neutral継続,2050→2080円
05/11,4204,東1,積水化,三菱UFJMS,Neutral→Overweight,2080→1740円
05/11,4293,JQ,セプテーニHD,三菱UFJMS,Neutral継続,300→210円
05/11,4452,東1,花王,野村,Buy継続,9360→9340円
05/11,5713,東1,住友鉱,マッコーリー,OP継続,2530→2940円
05/11,5713,東1,住友鉱,野村,Neutral継続,3400→3040円
05/11,5947,東1,リンナイ,野村,Neutral継続,7610→7770円
05/11,6367,東1,ダイキン,MSMUFG,Equal継続,14500→13000円
05/11,6923,東1,スタンレ電,三菱UFJMS,Hold 継続,2500→2400円
05/11,7011,東1,三菱重,MSMUFG,Equal継続,4800→3200円
05/11,7202,東1,いすゞ,MSMUFG,Equal継続,1150→860円
05/11,7205,東1,日野自,MSMUFG,Under継続,810→540円
05/11,7205,東1,日野自,三菱UFJMS,Neutral継続,920→690円
05/11,7453,東1,良品計画,SMBC日興,2継続,1900→1200円
05/11,7532,東1,パンパシHD,MSMUFG,Equal継続,1600→1800円
05/11,7606,東1,Ｕアローズ,MSMUFG,Equal継続,3300→1900円
05/11,7731,東1,ニコン,マッコーリー,Neutral継続,1220→935円
05/11,8601,東1,大和証Ｇ,三菱UFJMS,Neutral継続,510→495円
05/11,8601,東1,大和証Ｇ,野村,Neutral継続,530→510円
05/11,8963,東,ＩＮＶ,みずほ,中立継続,55000→29500円
05/11,8985,東,ＪＨＲ,みずほ,中立→買い,93500→45000円
05/11,9412,東1,スカパーJ,野村,Buy継続,585→530円
05/11,9719,東1,ＳＣＳＫ,大和,3継続,5600→5000円
05/11,9719,東1,ＳＣＳＫ,SMBC日興,2継続,5700→5000円
05/11,9728,東1,日管財,大和,3継続,2000→1970円
05/11,9729,東1,トーカイ,野村,Buy→Neutral,2940→2640円
05/11,9983,東1,ファーストリテイ,SMBC日興,1継続,66000→57000円
05/08,2327,東1,NSSOL,SMBC日興,2継続,3600→3000円
05/08,2327,東1,NSSOL,大和,1継続,3900→3400円
05/08,2492,東1,インフォマート,野村,Neutral継続,750→720円
05/08,2914,東1,ＪＴ,野村,Neutral継続,2400→1900円
05/08,2914,東1,ＪＴ,みずほ,中立継続,2300→2000円
05/08,3382,東1,7&I-HD,CS,Neutral継続,4400→3900円
05/08,3635,東1,コーエーテクモ,野村,Buy継続,3300→3600円
05/08,5214,東1,日電硝,大和,3継続,2300→1650円
05/08,5334,東1,特殊陶,野村,Buy継続,3180→2250円
05/08,6135,東1,牧野フ,野村,Buy継続,5250→4600円
05/08,6395,東1,タダノ,大和,3継続,1100→850円
05/08,6479,東1,ミネベアミツミ,野村,Neutral継続,2130→1700円
05/08,6770,東1,アルプスアル,野村,Neutral継続,2400→1200円
05/08,6806,東1,ヒロセ電,野村,Neutral継続,15000→13000円
05/08,6849,東1,日光電,MSMUFG,Equal継続,3400→3900円
05/08,6976,東1,太陽誘電,野村,Buy継続,4300→3700円
05/08,6999,東1,ＫＯＡ,SMBC日興,1継続,1600→1200円
05/08,7011,東1,三菱重,マッコーリー,Neutral継続,4500→2500円
05/08,7762,東1,シチズン,JPM,Under継続,400→325円
05/08,8002,東1,丸紅,マッコーリー,Neutral継続,590→480円
05/08,8473,東1,ＳＢＩ,大和,2継続,3000→2500円
05/08,8591,東1,オリックス,SMBC日興,1継続,2240→1990円
05/07,2211,東1,不二家,SMBC日興,2継続,1900→1800円
05/07,3088,東1,マツモトキヨシ,JPM,Over継続,4600→4300円
05/07,4099,東1,四国化,野村,Buy継続,1700→1550円
05/07,4151,東1,協和キリン,野村,Buy継続,2500→2800円
05/07,4185,東1,ＪＳＲ,野村,Neutral継続,1950→1850円
05/07,4206,東1,アイカ工,大和,2継続,3600→3370円
05/07,4307,東1,ＮＲＩ,SMBC日興,1継続,2900→3000円
05/07,4324,東1,電通Ｇ,JPM,Neutral継続,3600→2200円
05/07,4519,東1,中外薬,CS,OP継続,15000→16000円
05/07,4568,東1,第一三共,大和,1継続,9300→9000円
05/07,4689,東1,ＺＨＤ,大和,2継続,460→450円
05/07,4902,東1,コニカミノルタ,マッコーリー,OP→Neutral,830→410円
05/07,4922,東1,コーセー,大和,3→4,13880→8420円
05/07,5332,東1,ＴＯＴＯ,野村,Sell継続,3160→2880円
05/07,5423,東1,東製鉄,野村,Neutral継続,900→780円
05/07,5444,東1,大和工,野村,Neutral継続,2755→2190円
05/07,5471,東1,大特鋼,みずほ,UP継続,3500→2500円
05/07,5481,東1,山特鋼,野村,Neutral継続,1355→1060円
05/07,6432,東1,竹内製作,三菱UFJMS,Overweight 継続,2800→2500円
05/07,6752,東1,パナソニック,JPM,Neutral継続,1000→850円
05/07,6753,東1,シャープ,JPM,Neutral継続,1660→1200円
05/07,6954,東1,ファナック,MSMUFG,Equal継続,17500→18000円
05/07,7518,東1,ネットワン,三菱UFJMS,Overweight 継続,3500→3650円
05/07,7564,JQ,ワークマン,MSMUFG,新規Over,8000円継続
05/07,7752,東1,リコー,マッコーリー,Neutral継続,855→750円
05/07,7936,東1,アシックス,MSMUFG,新規Under,900円継続
05/07,7947,東1,エフピコ,野村,Neutral継続,6940→8200円
05/07,7947,東1,エフピコ,大和,2継続,7400→8700円
05/07,7951,東1,ヤマハ,JPM,Neutral継続,5200→3800円
05/07,8803,東1,平和不,野村,Buy継続,3730→3790円
05/07,9602,東1,東宝,三菱UFJMS,Overweight 継続,4900→4400円
05/01,1878,東1,大東建,CS,Neutral継続,15000→12000円
05/01,2212,東1,山崎パン,大和,2→3,2300→2000円
05/01,3003,東1,ヒューリック,大和,1継続,1600→1200円
05/01,3341,東1,日本調剤,みずほ,中立継続,4000→2000円
05/01,3405,東1,クラレ,MSMUFG,Under継続,1150→930円
05/01,4689,東1,ＺＨＤ,マッコーリー,OP継続,530→520円
05/01,4922,東1,コーセー,JPM,Over→Neutral,17200→12000円
05/01,4927,東1,ポーラオルHD,大和,3継続,2440→1830円
05/01,4967,東1,小林製薬,大和,2継続,9310→11440円
05/01,6594,東1,日電産,みずほ,買い継続,17500→8750円
05/01,6723,東1,ルネサス,野村,Neutral継続,760→620円
05/01,6963,東1,ローム,野村,Buy継続,9500→8000円
05/01,7984,東1,コクヨ,大和,3継続,1600→1250円
05/01,8035,東1,東エレク,MSMUFG,Over継続,24500→25000円
05/01,8035,東1,東エレク,野村,Buy継続,28355→27814円
05/01,8806,東1,ダイビル,野村,Buy継続,1520→1450円
